time,low,high,open,close,volume
1719619200,60273.8,61122.66,60312.36,60885.67,3199.03650127
1719705600,60611.01,62942.67,60884.44,62668.26,4263.22924826
1719792000,62448.46,63801.26,62669.14,62830.13,12326.70696465
1719878400,61000,63223.57,62830.94,62040.22,10688.64132628
1719964800,59332.76,62197.01,62039.44,60145.01,12066.71677065
1720051200,56709.73,60429.27,60145.01,57042.14,17969.35692426
1720137600,53499.9,57515.6,57036.45,56639.43,28052.41501655
1720224000,56020.32,58481.97,56634.53,58244.75,6449.32501293
1720310400,55717.23,58448.89,58240.36,55854.09,5320.91645368
1720396800,54278.93,58200,55852.61,56699.43,19043.04861272
1720483200,56276.37,58295.31,56701.18,58047.86,11757.76025902
1720569600,57157.28,59481.93,58047.86,57712.59,11619.63229345
1720656000,57036.41,59533.06,57713.4,57340.77,11433.53379518
1720742400,56538.33,58550,57343.66,57909.03,10516.60400149
1720828800,57770.92,59875,57908.61,59224.58,4255.10545721
1720915200,59209.2,61428.67,59224.58,60808.42,6132.37403058
1721001600,60666.59,64943.61,60804.97,64757.16,20601.73387957
1721088000,62410.33,65405.89,64757.16,65088.99,14691.92002303
1721174400,63853.99,66139,65086.55,64085.81,10647.79709095
1721260800,63222.6,65130.88,64085.82,63982.86,7637.52760383
1721347200,63289.15,67504.22,63977.64,66707.61,15163.05745737
1721433600,66271,67635,66707.61,67163.83,4671.38885135
1721520000,65820.18,68380,67163.82,68181.28,6027.86201344
1721606400,66569.42,68495,68181.16,67558.22,11844.79119584
1721692800,65444.3,67786.84,67560.03,65939.24,10791.03782177
1721779200,65090.61,67131.17,65939.24,65366.4,7702.25551129
1721865600,63412.46,66161.98,65358.86,65795.42,10452.25571747
1721952000,65705.6,68216.66,65795.52,67924.08,9315.20918753
1722038400,66635.28,69418.15,67921.46,67899.41,10233.62198513
1722124800,67021.8,68308.82,67901.81,68244.3,3505.5483691
1722211200,66400.01,70000,68244.3,66771.45,13641.48475825
1722297600,65283.68,66994.15,66767.14,66169.68,8733.57157991
1722384000,64500,66837.4,66169.68,64609.62,8986.37529253
1722470400,62212.81,65593.56,64609.61,65288.18,15636.72205775
1722556800,61150,65557.86,65293.48,61418.06,15390.00963957
1722643200,59819.13,62171.58,61418.06,60674.93,8019.39450918
1722729600,57123,61082.3,60674.93,58130.95,10319.01091658
1722816000,49050.01,58282.83,58131.31,54029.12,59125.78926672
1722902400,53965.57,57091.16,54037.9,56048.08,16897.67519536
1722988800,54564.15,57757.15,56048.07,55148.1,13971.5151871
1723075200,54737.32,62755.24,55144.14,61705.58,20623.04985861
1723161600,59552.46,61764.38,61704.05,60862.13,11569.80744379
1723248000,60255.61,61500,60864.71,60935.02,3157.63609699
1723334400,58312.63,61868.69,60935.01,58722.49,5229.37008498
1723420800,57653.31,60721.77,58717.44,59358.78,12183.92944247
1723507200,58402.01,61615.43,59358.78,60603.19,10879.76363828
